Champion,Rating,Normalized Number of Players
Tyra,1200, 2.654e-03
Viktor,1200, 5.563e-03
Willo,1200, 2.631e-03
Ying,1200, 1.613e-03
Zhin,1200, 2.542e-03
Androxus,1250, 1.460e-02
Ash,1250, 4.579e-03
Barik,1250, 3.452e-03
Bomb King,1250, 4.634e-03
Buck,1250, 5.065e-03
Cassie,1250, 1.633e-02
Drogoz,1250, 4.424e-03
Evie,1250, 9.052e-03
Fernando,1250, 5.260e-03
Grohk,1250, 3.368e-03
Grover,1250, 4.575e-03
Inara,1250, 6.332e-03
Kinessa,1250, 2.767e-02
Lex,1250, 6.916e-03
Maeve,1250, 1.078e-02
Makoa,1250, 9.168e-03
Mal'Damba,1250, 1.211e-02
Pip,1250, 7.528e-03
Ruckus,1250, 4.992e-03
Seris,1250, 7.019e-03
Sha Lin,1250, 1.330e-02
Skye,1250, 7.413e-03
Torvald,1250, 7.781e-04
Tyra,1250, 5.490e-03
Viktor,1250, 1.021e-02
Willo,1250, 4.881e-03
Ying,1250, 3.353e-03
Zhin,1250, 5.419e-03
Androxus,1300, 2.265e-02
Ash,1300, 9.023e-03
Barik,1300, 6.961e-03
Bomb King,1300, 8.535e-03
Buck,1300, 1.002e-02
Cassie,1300, 2.649e-02
Drogoz,1300, 8.146e-03
Evie,1300, 1.514e-02
Fernando,1300, 9.875e-03
Grohk,1300, 6.204e-03
Grover,1300, 8.950e-03
Inara,1300, 1.108e-02
Kinessa,1300, 3.990e-02
Lex,1300, 1.187e-02
Maeve,1300, 1.767e-02
Makoa,1300, 1.655e-02
Mal'Damba,1300, 2.062e-02
Pip,1300, 1.295e-02
Ruckus,1300, 9.800e-03
Seris,1300, 1.187e-02
Sha Lin,1300, 2.230e-02
Skye,1300, 1.366e-02
Torvald,1300, 1.730e-03
Tyra,1300, 9.977e-03
Viktor,1300, 1.773e-02
Willo,1300, 8.945e-03
Ying,1300, 6.601e-03
Zhin,1300, 1.041e-02
Androxus,1350, 3.411e-02
Ash,1350, 1.685e-02
Barik,1350, 1.250e-02
Bomb King,1350, 1.490e-02
Buck,1350, 1.764e-02
Cassie,1350, 3.912e-02
Drogoz,1350, 1.368e-02
Evie,1350, 2.499e-02
Fernando,1350, 1.732e-02
Grohk,1350, 1.122e-02
Grover,1350, 1.630e-02
Inara,1350, 1.822e-02
Kinessa,1350, 5.594e-02
Lex,1350, 2.021e-02
Maeve,1350, 2.788e-02
Makoa,1350, 2.740e-02
Mal'Damba,1350, 3.204e-02
Pip,1350, 2.225e-02
Ruckus,1350, 1.743e-02
Seris,1350, 1.960e-02
Sha Lin,1350, 3.409e-02
Skye,1350, 2.197e-02
Torvald,1350, 3.866e-03
Tyra,1350, 1.722e-02
Viktor,1350, 2.844e-02
Willo,1350, 1.473e-02
Ying,1350, 1.201e-02
Zhin,1350, 1.728e-02
Androxus,1400, 4.644e-02
Ash,1400, 2.815e-02
Barik,1400, 2.123e-02
Bomb King,1400, 2.326e-02
Buck,1400, 2.752e-02
Cassie,1400, 5.346e-02
Drogoz,1400, 2.210e-02
Evie,1400, 3.739e-02
Fernando,1400, 2.795e-02
Grohk,1400, 1.858e-02
Grover,1400, 2.750e-02
Inara,1400, 2.972e-02
Kinessa,1400, 6.967e-02
Lex,1400, 3.134e-02
Maeve,1400, 4.066e-02
Makoa,1400, 4.281e-02
Mal'Damba,1400, 4.846e-02
Pip,1400, 3.483e-02
Ruckus,1400, 2.860e-02
Seris,1400, 3.133e-02
Sha Lin,1400, 4.815e-02
Skye,1400, 3.380e-02
Torvald,1400, 7.365e-03
Tyra,1400, 2.696e-02
Viktor,1400, 4.213e-02
Willo,1400, 2.497e-02
Ying,1400, 1.941e-02
Zhin,1400, 2.928e-02
Androxus,1450, 5.904e-02
Ash,1450, 4.308e-02
Barik,1450, 3.172e-02
Bomb King,1450, 3.524e-02
