Champion,Advantage|% Advantage,Percentile,Count|Number of Players,Smoothed Count|Number of Players,Normalized Count|Normalized Number of Players,Smoothed Normalized Count|Normalized Number of Players,countatadvantage
Ruckus,-0.175,0.11457,2980,2976.405, 4.8680e-02, 4.8622e-02,62664
Ruckus,-0.150,0.15166,3458,3403.867, 5.6488e-02, 5.5605e-02,73334
Ruckus,-0.125,0.19506,3744,3689.753, 6.1160e-02, 6.0275e-02,82203
Ruckus,-0.100,0.24371,3855,3836.791, 6.2974e-02, 6.2677e-02,88659
Ruckus,-0.075,0.29618,3995,3942.316, 6.5261e-02, 6.4401e-02,94456
Ruckus,-0.050,0.35208,3932,3899.627, 6.4232e-02, 6.3703e-02,97945
Ruckus,-0.025,0.41004,3833,3784.696, 6.2614e-02, 6.1826e-02,98864
Ruckus,0.000,0.46855,3572,3548.608, 5.8351e-02, 5.7969e-02,97205
Ruckus,0.025,0.52608,3221,3248.462, 5.2617e-02, 5.3066e-02,94342
Ruckus,0.050,0.58191,3019,3010.570, 4.9317e-02, 4.9180e-02,89831
Ruckus,0.075,0.63508,2797,2754.709, 4.5691e-02, 4.5000e-02,84775
Ruckus,0.100,0.68525,2365,2391.709, 3.8634e-02, 3.9070e-02,78203
Ruckus,0.125,0.73153,2081,2096.032, 3.3994e-02, 3.4240e-02,71645
Ruckus,0.150,0.77393,1876,1842.297, 3.0646e-02, 3.0095e-02,64521
Ruckus,0.175,0.81212,1449,1492.873, 2.3670e-02, 2.4387e-02,57137
Ruckus,0.200,0.84593,1266,1269.696, 2.0681e-02, 2.0741e-02,50898
Ruckus,0.225,0.87605,1038,1041.785, 1.6956e-02, 1.7018e-02,43913
Ruckus,0.250,0.90204,817,831.146, 1.3346e-02, 1.3577e-02,37846
Ruckus,0.275,0.92444,647,656.203, 1.0569e-02, 1.0720e-02,32110
Ruckus,0.300,0.94344,498,503.380, 8.1351e-03, 8.2231e-03,26446
Ruckus,0.325,0.95909,360,367.684, 5.8808e-03, 6.0064e-03,20875
Ruckus,0.350,0.97145,230,248.810, 3.7572e-03, 4.0645e-03,15903
Ruckus,0.375,0.98086,180,181.158, 2.9404e-03, 2.9594e-03,11884
Ruckus,0.400,0.98789,101,112.095, 1.6499e-03, 1.8312e-03,8085
Ruckus,0.425,0.99268,73,75.956, 1.1925e-03, 1.2408e-03,5329
Ruckus,0.450,0.99583,41,44.778, 6.6976e-04, 7.3149e-04,3259
Ruckus,0.475,0.99776,23,25.551, 3.7572e-04, 4.1739e-04,1891
Ruckus,0.500,0.99888,7,11.506, 1.1435e-04, 1.8796e-04,938
Ruckus,0.525,0.99943,11,10.032, 1.7969e-04, 1.6387e-04,528
Ruckus,0.550,0.99975,12,13.544, 1.9603e-04, 2.2126e-04,243
Makoa,-0.475,0.00020,21,24.595, 2.2261e-04, 2.6072e-04,271
Makoa,-0.450,0.00036,15,22.589, 1.5901e-04, 2.3945e-04,580
Makoa,-0.425,0.00070,45,55.399, 4.7703e-04, 5.8726e-04,1141
Makoa,-0.400,0.00137,89,112.335, 9.4346e-04, 1.1908e-03,2264
Makoa,-0.375,0.00271,217,233.747, 2.3003e-03, 2.4779e-03,4127
Makoa,-0.350,0.00516,358,396.456, 3.7950e-03, 4.2027e-03,7011
Makoa,-0.325,0.00931,616,660.481, 6.5300e-03, 7.0015e-03,11155
Makoa,-0.300,0.01591,989,1027.766, 1.0484e-02, 1.0895e-02,16516
Makoa,-0.275,0.02568,1511,1510.810, 1.6018e-02, 1.6016e-02,23856
Makoa,-0.250,0.03980,1903,1977.905, 2.0173e-02, 2.0967e-02,32221
Makoa,-0.225,0.05887,2642,2643.063, 2.8007e-02, 2.8018e-02,41799
Makoa,-0.200,0.08361,3346,3307.203, 3.5470e-02, 3.5059e-02,52324
Makoa,-0.175,0.11457,3853,3873.304, 4.0844e-02, 4.1060e-02,62664
Makoa,-0.150,0.15166,4523,4488.506, 4.7947e-02, 4.7581e-02,73334
Makoa,-0.125,0.19506,5119,5017.867, 5.4265e-02, 5.3193e-02,82203
Makoa,-0.100,0.24371,5311,5289.291, 5.6300e-02, 5.6070e-02,88659
Makoa,-0.075,0.29618,5546,5511.791, 5.8791e-02, 5.8429e-02,94456
Makoa,-0.050,0.35208,5705,5634.177, 6.0477e-02, 5.9726e-02,97945
Makoa,-0.025,0.41004,5631,5580.044, 5.9692e-02, 5.9152e-02,98864
Makoa,0.000,0.46855,5420,5398.247, 5.7455e-02, 5.7225e-02,97205
Makoa,0.025,0.52608,5193,5166.608, 5.5049e-02, 5.4769e-02,94342
Makoa,0.050,0.58191,4824,4840.829, 5.1137e-02, 5.1316e-02,89831
Makoa,0.075,0.63508,4665,4585.481, 4.9452e-02, 4.8609e-02,84775
Makoa,0.100,0.68525,4071,4100.741, 4.3155e-02, 4.3471e-02,78203
Makoa,0.125,0.73153,3732,3718.063, 3.9562e-02, 3.9414e-02,71645
Makoa,0.150,0.77393,3286,3284.892, 3.4834e-02, 3.4822e-02,64521
Makoa,0.175,0.81212,2804,2847.816, 2.9724e-02, 3.0189e-02,57137
Makoa,0.200,0.84593,2538,2529.943, 2.6904e-02, 2.6819e-02,50898
Makoa,0.225,0.87605,2156,2173.709, 2.2855e-02, 2.3043e-02,43913
Makoa,0.250,0.90204,1900,1884.101, 2.0141e-02, 1.9973e-02,37846
Makoa,0.275,0.92444,1511,1539.690, 1.6018e-02, 1.6322e-02,32110
Makoa,0.300,0.94344,1280,1281.430, 1.3569e-02, 1.3584e-02,26446
Makoa,0.325,0.95909,1000,1016.462, 1.0601e-02, 1.0775e-02,20875
Makoa,0.350,0.97145,785,798.747, 8.3215e-03, 8.4672e-03,15903
Makoa,0.375,0.98086,610,614.741, 6.4664e-03, 6.5167e-03,11884
Makoa,0.400,0.98789,433,444.063, 4.5901e-03, 4.7074e-03,8085
Makoa,0.425,0.99268,287,302.038, 3.0424e-03, 3.2018e-03,5329
Makoa,0.450,0.99583,193,199.506, 2.0459e-03, 2.1149e-03,3259
Makoa,0.475,0.99776,98,111.722, 1.0389e-03, 1.1843e-03,1891
Makoa,0.500,0.99888,53,61.196, 5.6183e-04, 6.4872e-04,938
