Map,Champion,Winrate|% Games Won,Count
Jaguar Falls,Io,0.5535,8802
Jaguar Falls,Jenos,0.5347,18607
Jaguar Falls,Khan,0.4944,20566
Jaguar Falls,Kinessa,0.3216,1508
Jaguar Falls,Koga,0.4679,3080
Jaguar Falls,Lex,0.4099,2842
Jaguar Falls,Lian,0.4316,11637
Jaguar Falls,Maeve,0.4921,9713
Jaguar Falls,Makoa,0.5136,10864
Jaguar Falls,Mal'Damba,0.4323,7000
Jaguar Falls,Moji,0.5646,5191
Jaguar Falls,Pip,0.4967,3737
Jaguar Falls,Ruckus,0.4231,5630
Jaguar Falls,Seris,0.4531,13899
Jaguar Falls,Sha Lin,0.4051,1728
Jaguar Falls,Skye,0.4789,6199
Jaguar Falls,Strix,0.4055,3213
Jaguar Falls,Talus,0.4872,3920
Jaguar Falls,Terminus,0.5433,6554
Jaguar Falls,Torvald,0.5090,5308
Jaguar Falls,Tyra,0.5226,14988
Jaguar Falls,Viktor,0.4652,9077
Jaguar Falls,Vivian,0.5135,7564
Jaguar Falls,Willo,0.5735,7683
Jaguar Falls,Ying,0.4872,5450
Jaguar Falls,Zhin,0.5405,11990
Serpent Beach,Androxus,0.4287,4980
Serpent Beach,Ash,0.5199,15159
Serpent Beach,Atlas,0.4690,6685
Serpent Beach,Barik,0.5294,20018
Serpent Beach,Bomb King,0.5137,7351
Serpent Beach,Buck,0.5009,2166
Serpent Beach,Cassie,0.4561,7692
Serpent Beach,Dredge,0.4870,4643
Serpent Beach,Drogoz,0.5573,7196
Serpent Beach,Evie,0.5121,7657
Serpent Beach,Fernando,0.4809,8438
Serpent Beach,Furia,0.5333,8933
Serpent Beach,Grohk,0.5205,3318
Serpent Beach,Grover,0.5080,5028
Serpent Beach,Imani,0.4446,1624
Serpent Beach,Inara,0.5309,20828
Serpent Beach,Io,0.5678,8136
Serpent Beach,Jenos,0.5085,17691
Serpent Beach,Khan,0.4875,19057
Serpent Beach,Kinessa,0.3985,3227
Serpent Beach,Koga,0.4387,2911
Serpent Beach,Lex,0.3922,2218
Serpent Beach,Lian,0.4511,11387
Serpent Beach,Maeve,0.5158,10475
Serpent Beach,Makoa,0.5095,10471
Serpent Beach,Mal'Damba,0.4277,6420
Serpent Beach,Moji,0.5413,3728
Serpent Beach,Pip,0.4989,3640
Serpent Beach,Ruckus,0.4338,5487
Serpent Beach,Seris,0.4644,13530
Serpent Beach,Sha Lin,0.3877,1491
Serpent Beach,Skye,0.4726,5415
Serpent Beach,Strix,0.4394,6143
Serpent Beach,Talus,0.4767,3178
Serpent Beach,Terminus,0.5366,5824
Serpent Beach,Torvald,0.4765,4856
Serpent Beach,Tyra,0.5190,12981
Serpent Beach,Viktor,0.4656,9294
Serpent Beach,Vivian,0.5202,6784
Serpent Beach,Willo,0.6164,7751
Serpent Beach,Ying,0.4817,5341
Serpent Beach,Zhin,0.5204,9468
Shattered Desert,Androxus,0.4056,3920
Shattered Desert,Ash,0.5273,15685
Shattered Desert,Atlas,0.4772,6509
Shattered Desert,Barik,0.5292,20196
Shattered Desert,Bomb King,0.5379,8315
Shattered Desert,Buck,0.5012,2107
Shattered Desert,Cassie,0.4724,8963
Shattered Desert,Dredge,0.5057,4457
Shattered Desert,Drogoz,0.4906,5679
Shattered Desert,Evie,0.4740,5006
Shattered Desert,Fernando,0.5025,8644
Shattered Desert,Furia,0.5231,9191
Shattered Desert,Grohk,0.5001,3921
Shattered Desert,Grover,0.4858,4522
Shattered Desert,Imani,0.4270,1644
Shattered Desert,Inara,0.5095,20478
Shattered Desert,Io,0.5782,8094
Shattered Desert,Jenos,0.5169,17171
Shattered Desert,Khan,0.4786,19095
Shattered Desert,Kinessa,0.3612,2071
Shattered Desert,Koga,0.4544,2929
Shattered Desert,Lex,0.3998,2664
Shattered Desert,Lian,0.4588,11632
Shattered Desert,Maeve,0.5133,9376
Shattered Desert,Makoa,0.5206,10141
Shattered Desert,Mal'Damba,0.4272,6505
Shattered Desert,Moji,0.5554,4242
Shattered Desert,Pip,0.4889,3115
Shattered Desert,Ruckus,0.4383,5282
Shattered Desert,Seris,0.4711,13932
Shattered Desert,Sha Lin,0.4342,1619
Shattered Desert,Skye,0.4656,5552
Shattered Desert,Strix,0.4437,5042
Shattered Desert,Talus,0.4709,3714
Shattered Desert,Terminus,0.5328,5995
Shattered Desert,Torvald,0.4997,4541
Shattered Desert,Tyra,0.5286,13521
Shattered Desert,Viktor,0.4670,9598
Shattered Desert,Vivian,0.5201,7364
Shattered Desert,Willo,0.5708,6982
Shattered Desert,Ying,0.4862,5152
Shattered Desert,Zhin,0.5459,11264
Splitstone Quarry,Androxus,0.4285,4166
Splitstone Quarry,Ash,0.5061,13074
Splitstone Quarry,Atlas,0.4629,5781
Splitstone Quarry,Barik,0.5212,17323
Splitstone Quarry,Bomb King,0.5224,5664
Splitstone Quarry,Buck,0.4931,1661
Splitstone Quarry,Cassie,0.4472,5796
Splitstone Quarry,Dredge,0.5208,5033
Splitstone Quarry,Drogoz,0.5280,5629
Splitstone Quarry,Evie,0.5197,6567
Splitstone Quarry,Fernando,0.4918,7114
Splitstone Quarry,Furia,0.5280,7727
Splitstone Quarry,Grohk,0.5207,2614
Splitstone Quarry,Grover,0.5041,4015
Splitstone Quarry,Imani,0.4313,1442
Splitstone Quarry,Inara,0.5363,17747
Splitstone Quarry,Io,0.5635,6667
Splitstone Quarry,Jenos,0.5195,15448
Splitstone Quarry,Khan,0.5050,16233
Splitstone Quarry,Kinessa,0.3888,3675
Splitstone Quarry,Koga,0.4532,2403
Splitstone Quarry,Lex,0.3883,1759
Splitstone Quarry,Lian,0.4446,8821
Splitstone Quarry,Maeve,0.5068,8837
Splitstone Quarry,Makoa,0.5139,9118
