division,name,role,skill_level,patch,legendary,avg_dps,sd_dps,avg_sps,sd_sps,avg_hps,sd_hps,avg_kpm,sd_kpm,avg_slayspm,sd_slayspm,avg_xpm,sd_xpm,avg_cpm,sd_cpm,wins,count,champ_count
Crossplatform Casual,Imani,Damage,2500+,V2.02,Splitting Ice,88.98,29.23,2.01,1.92,0.00,0.00,1.56,0.68,0.85,0.43,0.64,0.27,223.27,54.59,46416,88882,108329
Crossplatform Casual,Imani,Damage,3000+,V2.02,Splitting Ice,97.03,30.50,2.00,1.90,0.00,0.00,1.48,0.66,0.77,0.40,0.60,0.27,223.65,52.71,3745,7325,8320
Keyboard/Mouse Ranked,Imani,Damage,3000+,V2.02,Splitting Ice,127.28,29.04,2.16,1.85,0.00,0.00,1.61,0.61,0.83,0.37,0.54,0.23,239.90,47.46,756,1477,1526
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.02,Splitting Ice,127.84,29.88,2.04,1.83,0.00,0.00,1.66,0.64,0.88,0.40,0.55,0.24,243.62,48.42,3684,6936,7218
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.02,Splitting Ice,126.60,30.34,2.04,1.87,0.00,0.00,1.70,0.66,0.90,0.40,0.56,0.24,244.14,49.41,7335,13766,14523
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.02,Splitting Ice,123.32,31.27,1.98,1.90,0.00,0.00,1.74,0.69,0.95,0.43,0.58,0.25,244.80,50.71,18914,35145,38488
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.02,Splitting Ice,118.20,32.71,1.98,1.88,0.00,0.00,1.75,0.72,0.97,0.45,0.58,0.26,243.61,52.74,30431,56041,65296
Keyboard/Mouse Ranked,Imani,Damage,3000+,V2.03,Splitting Ice,123.39,28.55,2.06,1.83,0.00,0.00,1.57,0.61,0.81,0.37,0.55,0.24,237.83,46.62,676,1373,1388
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.03,Splitting Ice,123.43,29.64,2.01,1.84,0.00,0.00,1.63,0.65,0.86,0.40,0.56,0.24,241.10,48.58,3048,5894,5980
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.03,Splitting Ice,123.49,29.92,2.04,1.88,0.00,0.00,1.68,0.66,0.89,0.40,0.56,0.24,242.68,48.81,5552,10547,10780
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.03,Splitting Ice,121.28,30.51,2.03,1.91,0.00,0.00,1.74,0.68,0.95,0.43,0.58,0.25,244.05,50.38,13490,24998,26472
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.03,Splitting Ice,117.54,31.63,2.01,1.90,0.00,0.00,1.77,0.71,0.98,0.45,0.59,0.26,244.17,52.02,20928,38218,42847
Keyboard/Mouse Ranked,Imani,Damage,3000+,V2.04,Splitting Ice,121.96,27.69,1.94,1.71,0.00,0.00,1.59,0.63,0.84,0.39,0.55,0.23,238.39,49.88,460,913,923
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.04,Splitting Ice,122.04,28.42,1.94,1.76,0.00,0.00,1.67,0.65,0.89,0.40,0.55,0.24,242.09,49.31,2361,4418,4457
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.04,Splitting Ice,121.97,28.81,1.99,1.81,0.00,0.00,1.71,0.66,0.92,0.41,0.56,0.24,243.53,49.64,4718,8687,8808
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.04,Splitting Ice,120.17,29.68,2.04,1.88,0.00,0.00,1.78,0.69,0.98,0.44,0.58,0.25,245.21,50.94,11402,20643,21477
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.04,Splitting Ice,116.15,31.25,2.04,1.87,0.00,0.00,1.80,0.72,1.00,0.46,0.59,0.26,244.82,52.76,17478,31357,34204
Keyboard/Mouse Ranked,Imani,Damage,3000+,V2.05,Splitting Ice,104.37,26.59,2.22,1.84,0.00,0.00,1.29,0.63,0.65,0.37,0.57,0.23,217.11,46.06,183,459,472
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.05,Splitting Ice,101.88,25.83,2.22,1.82,0.00,0.00,1.32,0.58,0.67,0.34,0.59,0.24,216.36,45.41,1124,2715,2849
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.05,Splitting Ice,100.99,26.01,2.18,1.88,0.00,0.00,1.36,0.60,0.70,0.36,0.60,0.24,217.85,46.18,2570,6021,6451
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.05,Splitting Ice,99.16,26.89,2.13,1.95,0.00,0.00,1.43,0.64,0.76,0.39,0.63,0.26,220.09,47.99,10050,22549,25621
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.05,Splitting Ice,95.96,28.31,2.14,1.93,0.00,0.00,1.46,0.67,0.79,0.41,0.64,0.27,220.74,50.45,19321,42091,52019
Keyboard/Mouse Ranked,Imani,Damage,3000+,V2.06,Splitting Ice,97.13,28.83,1.74,1.70,0.00,0.00,1.22,0.54,0.60,0.29,0.57,0.32,219.76,53.94,16,31,39
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.06,Splitting Ice,98.86,27.99,1.98,1.94,0.00,0.00,1.32,0.59,0.65,0.33,0.59,0.27,218.21,49.84,110,246,324
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.06,Splitting Ice,95.02,27.02,2.04,1.99,0.00,0.00,1.33,0.62,0.68,0.37,0.64,0.27,213.60,50.93,340,828,1130
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.06,Splitting Ice,93.73,28.65,2.08,2.01,0.00,0.00,1.41,0.67,0.76,0.42,0.68,0.27,217.23,52.55,2937,6748,9538
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.06,Splitting Ice,89.08,29.70,2.18,1.94,0.00,0.00,1.40,0.69,0.77,0.43,0.68,0.27,215.73,54.83,8017,18146,27637
Keyboard/Mouse Ranked,Imani,Damage,3000+,V2.07,Splitting Ice,84.73,12.63,2.77,3.92,0.00,0.00,0.58,0.28,0.34,0.07,0.92,0.03,187.25,8.91,0,2,4
Keyboard/Mouse Ranked,Imani,Damage,2700+,V2.07,Splitting Ice,94.28,20.65,2.08,2.10,0.00,0.00,1.28,0.59,0.62,0.34,0.71,0.31,209.42,52.35,8,20,31
Keyboard/Mouse Ranked,Imani,Damage,2500+,V2.07,Splitting Ice,93.78,26.25,1.92,2.18,0.00,0.00,1.36,0.60,0.69,0.37,0.68,0.28,212.90,57.08,29,72,99
Keyboard/Mouse Ranked,Imani,Damage,2100+,V2.07,Splitting Ice,96.66,28.48,2.07,2.02,0.00,0.00,1.44,0.63,0.79,0.39,0.69,0.27,216.27,52.42,180,438,670
Keyboard/Mouse Ranked,Imani,Damage,Everyone,V2.07,Splitting Ice,92.29,30.40,2.06,1.96,0.00,0.00,1.43,0.67,0.79,0.42,0.70,0.28,216.44,54.77,403,952,1617
PS4 Ranked,Imani,Damage,2700+,V2.03,Splitting Ice,116.52,31.09,2.40,2.15,0.00,0.00,1.60,0.64,0.82,0.38,0.61,0.25,236.41,48.41,883,1789,1846
PS4 Ranked,Imani,Damage,2500+,V2.03,Splitting Ice,111.39,30.81,2.32,2.15,0.00,0.00,1.64,0.66,0.85,0.39,0.64,0.26,235.50,49.02,2048,4197,4423
PS4 Ranked,Imani,Damage,3000+,V2.03,Splitting Ice,121.34,30.51,2.31,2.07,0.00,0.00,1.51,0.56,0.78,0.35,0.58,0.23,236.92,44.26,100,192,197
PS4 Ranked,Imani,Damage,Everyone,V2.02,Splitting Ice,97.46,30.68,2.32,1.99,0.00,0.00,1.68,0.71,0.93,0.45,0.68,0.28,234.61,53.57,14179,27973,35572
PS4 Ranked,Imani,Damage,2100+,V2.03,Splitting Ice,104.13,30.40,2.20,2.13,0.00,0.00,1.70,0.70,0.92,0.43,0.68,0.27,237.03,51.85,7813,15382,17547
PS4 Ranked,Imani,Damage,Everyone,V2.03,Splitting Ice,98.92,31.07,2.27,2.06,0.00,0.00,1.71,0.72,0.93,0.45,0.68,0.28,236.79,54.28,12410,24073,29864
PS4 Ranked,Imani,Damage,3000+,V2.04,Splitting Ice,122.31,29.00,1.66,1.59,0.00,0.00,1.52,0.58,0.78,0.34,0.55,0.21,230.30,45.52,176,368,372
PS4 Ranked,Imani,Damage,2700+,V2.04,Splitting Ice,116.93,28.31,2.16,1.93,0.00,0.00,1.67,0.62,0.87,0.38,0.59,0.24,235.98,46.33,1196,2334,2372
PS4 Ranked,Imani,Damage,2100+,V2.02,Splitting Ice,102.80,29.89,2.29,2.04,0.00,0.00,1.68,0.68,0.91,0.42,0.67,0.27,235.17,50.56,8617,17124,19954
PS4 Ranked,Imani,Damage,2500+,V2.04,Splitting Ice,113.48,28.62,2.16,2.01,0.00,0.00,1.70,0.64,0.91,0.40,0.63,0.25,236.92,47.26,2624,5165,5324
PS4 Ranked,Imani,Damage,2100+,V2.04,Splitting Ice,106.19,29.54,2.21,2.08,0.00,0.00,1.73,0.69,0.94,0.43,0.67,0.27,237.18,50.25,7816,15347,16672
PS4 Ranked,Imani,Damage,2500+,V2.02,Splitting Ice,108.48,30.43,2.38,2.10,0.00,0.00,1.63,0.64,0.86,0.39,0.64,0.26,233.92,48.16,2603,5219,5692
PS4 Ranked,Imani,Damage,Everyone,V2.04,Splitting Ice,100.01,31.63,2.33,2.01,0.00,0.00,1.72,0.73,0.94,0.46,0.68,0.28,235.56,54.12,12296,24033,27951
PS4 Ranked,Imani,Damage,3000+,V2.05,Splitting Ice,100.09,23.92,1.86,1.77,0.00,0.00,1.23,0.50,0.60,0.26,0.55,0.21,208.76,42.53,62,147,147
PS4 Ranked,Imani,Damage,2700+,V2.05,Splitting Ice,96.64,25.46,2.24,2.12,0.00,0.00,1.30,0.56,0.65,0.34,0.64,0.24,211.40,43.03,488,1187,1235
PS4 Ranked,Imani,Damage,2500+,V2.05,Splitting Ice,93.52,25.67,2.21,2.15,0.00,0.00,1.35,0.58,0.68,0.34,0.67,0.25,212.67,44.42,1245,2945,3187
PS4 Ranked,Imani,Damage,2700+,V2.02,Splitting Ice,113.55,30.57,2.29,2.08,0.00,0.00,1.56,0.62,0.81,0.37,0.60,0.24,233.31,46.30,988,2010,2133
PS4 Ranked,Imani,Damage,3000+,V2.02,Splitting Ice,122.22,29.88,1.72,1.70,0.00,0.00,1.52,0.65,0.78,0.39,0.52,0.22,237.54,44.49,100,196,206
PS4 Ranked,Imani,Damage,2100+,V2.05,Splitting Ice,87.07,26.59,2.29,2.09,0.00,0.00,1.40,0.64,0.73,0.39,0.72,0.27,214.20,48.76,5700,13347,16544
PS4 Ranked,Imani,Damage,Everyone,V2.05,Splitting Ice,81.57,27.36,2.39,2.02,0.00,0.00,1.40,0.67,0.74,0.41,0.73,0.28,213.91,52.11,10934,24823,34561
PS4 Ranked,Imani,Damage,3000+,V2.06,Splitting Ice,100.21,24.73,2.40,2.12,0.00,0.00,1.34,0.69,0.64,0.43,0.58,0.23,221.15,53.28,14,26,26
PS4 Ranked,Imani,Damage,2700+,V2.06,Splitting Ice,91.01,26.10,2.56,2.19,0.00,0.00,1.26,0.54,0.63,0.34,0.66,0.26,208.64,47.33,123,269,295
PS4 Ranked,Imani,Damage,2500+,V2.06,Splitting Ice,87.87,25.80,2.29,2.17,0.00,0.00,1.29,0.57,0.67,0.35,0.71,0.26,208.47,47.49,401,949,1147
PS4 Ranked,Imani,Damage,2100+,V2.06,Splitting Ice,83.05,26.21,2.30,2.05,0.00,0.00,1.37,0.65,0.72,0.39,0.74,0.27,212.20,51.54,3033,6969,9814
PS4 Ranked,Imani,Damage,Everyone,V2.06,Splitting Ice,77.77,27.05,2.41,1.98,0.00,0.00,1.37,0.67,0.73,0.41,0.74,0.28,212.01,54.83,7065,15871,24656
PS4 Casual,Kinessa,Damage,2500+,V2.02,Steady Aim,73.86,26.42,0.00,0.00,0.00,0.00,1.44,0.68,0.74,0.41,0.64,0.28,202.02,49.87,4724,11241,31215
PS4 Casual,Kinessa,Damage,2100+,V2.02,Steady Aim,63.20,26.37,0.00,0.00,0.00,0.00,1.38,0.71,0.70,0.42,0.68,0.29,194.71,53.51,18332,43851,101136
PS4 Casual,Kinessa,Damage,Everyone,V2.02,Steady Aim,53.35,25.84,0.00,0.00,0.00,0.00,1.33,0.74,0.67,0.45,0.69,0.30,188.33,59.24,51694,120197,232742
Controller Ranked,Kinessa,Damage,2500+,V2.02,Steady Aim,90.32,24.92,0.00,0.00,0.00,0.00,1.49,0.63,0.78,0.38,0.59,0.24,211.96,43.23,102,256,673
PS4 Casual,Kinessa,Damage,3000+,V2.03,Steady Aim,89.29,26.66,0.00,0.00,0.00,0.00,1.48,0.64,0.79,0.40,0.55,0.27,211.89,46.22,303,671,1637
PS4 Casual,Kinessa,Damage,Everyone,V2.06,Steady Aim,56.25,26.24,0.00,0.00,0.00,0.00,1.37,0.76,0.69,0.46,0.69,0.31,192.58,59.54,154189,353966,683849
PS4 Casual,Kinessa,Damage,2700+,V2.03,Steady Aim,81.36,26.04,0.00,0.00,0.00,0.00,1.47,0.67,0.78,0.41,0.59,0.28,206.80,49.80,1411,3236,8378
PS4 Casual,Kinessa,Damage,2500+,V2.03,Steady Aim,76.48,26.21,0.00,0.00,0.00,0.00,1.46,0.68,0.76,0.42,0.62,0.28,204.05,50.63,3371,7768,19324
PS4 Casual,Kinessa,Damage,2100+,V2.03,Steady Aim,66.82,27.21,0.00,0.00,0.00,0.00,1.42,0.71,0.73,0.43,0.66,0.29,197.83,53.93,10155,24016,55482
PS4 Casual,Kinessa,Damage,2100+,V2.06,Steady Aim,65.15,26.06,0.00,0.00,0.00,0.00,1.41,0.72,0.72,0.43,0.68,0.30,197.92,54.29,57924,137848,301418
PS4 Casual,Kinessa,Damage,Everyone,V2.03,Steady Aim,57.38,26.99,0.00,0.00,0.00,0.00,1.39,0.75,0.71,0.46,0.68,0.31,192.78,59.08,23937,55351,113374
PS4 Casual,Kinessa,Damage,3000+,V2.04,Steady Aim,84.82,24.96,0.00,0.00,0.00,0.00,1.44,0.63,0.77,0.40,0.54,0.26,208.64,47.20,274,552,1381
PS4 Casual,Kinessa,Damage,2500+,V2.06,Steady Aim,74.04,25.91,0.00,0.00,0.00,0.00,1.44,0.69,0.75,0.42,0.65,0.29,203.28,50.61,14201,33708,79846
PS4 Casual,Kinessa,Damage,2700+,V2.04,Steady Aim,79.88,25.21,0.00,0.00,0.00,0.00,1.45,0.65,0.77,0.41,0.60,0.28,205.70,48.54,1221,2806,7007
PS4 Casual,Kinessa,Damage,2500+,V2.04,Steady Aim,76.26,25.94,0.00,0.00,0.00,0.00,1.47,0.68,0.77,0.42,0.62,0.28,204.03,50.39,2876,6649,16559
Crossplatform Casual,Kinessa,Damage,3000+,V2.03,Steady Aim,92.49,28.14,0.00,0.00,0.00,0.00,1.44,0.63,0.81,0.42,0.52,0.25,214.14,50.01,1505,3236,6181
PS4 Casual,Kinessa,Damage,2100+,V2.04,Steady Aim,67.16,26.77,0.00,0.00,0.00,0.00,1.43,0.72,0.74,0.44,0.66,0.29,198.34,53.65,8531,20053,46660
PS4 Casual,Kinessa,Damage,Everyone,V2.04,Steady Aim,57.21,27.32,0.00,0.00,0.00,0.00,1.39,0.76,0.71,0.47,0.68,0.31,192.22,59.23,20227,46584,95788
PS4 Casual,Kinessa,Damage,2700+,V2.06,Steady Aim,78.59,26.13,0.00,0.00,0.00,0.00,1.44,0.67,0.76,0.41,0.62,0.28,204.30,48.85,4509,10672,26687
PS4 Casual,Kinessa,Damage,3000+,V2.05,Steady Aim,83.72,26.58,0.00,0.00,0.00,0.00,1.37,0.62,0.75,0.39,0.57,0.28,203.21,45.88,374,904,2428
Controller Ranked,Kinessa,Damage,2700+,V2.02,Steady Aim,90.59,22.54,0.00,0.00,0.00,0.00,1.39,0.54,0.68,0.34,0.62,0.19,202.11,36.87,18,72,164
PS4 Casual,Kinessa,Damage,2700+,V2.05,Steady Aim,77.48,25.30,0.00,0.00,0.00,0.00,1.44,0.67,0.75,0.40,0.62,0.28,202.82,48.86,2846,6848,17465
Crossplatform Casual,Kinessa,Damage,2700+,V2.03,Steady Aim,85.68,27.00,0.00,0.00,0.00,0.00,1.43,0.64,0.79,0.42,0.54,0.25,208.89,49.13,5585,12274,25687
PS4 Casual,Kinessa,Damage,2500+,V2.05,Steady Aim,73.30,25.67,0.00,0.00,0.00,0.00,1.45,0.69,0.75,0.41,0.65,0.28,202.17,50.72,8593,20587,50485
PS4 Casual,Kinessa,Damage,2100+,V2.05,Steady Aim,64.17,25.89,0.00,0.00,0.00,0.00,1.42,0.72,0.72,0.43,0.69,0.30,196.88,54.21,35761,85703,193667
PS4 Casual,Kinessa,Damage,Everyone,V2.05,Steady Aim,54.82,25.85,0.00,0.00,0.00,0.00,1.37,0.75,0.68,0.45,0.70,0.31,190.36,59.24,99914,232802,466833
PS4 Casual,Kinessa,Damage,3000+,V2.06,Steady Aim,86.86,26.66,0.00,0.00,0.00,0.00,1.40,0.62,0.77,0.39,0.55,0.26,205.32,47.43,504,1227,3196
Keyboard/Mouse Ranked,Kinessa,Damage,2100+,V2.02,Steady Aim,99.64,28.58,0.00,0.00,0.00,0.00,1.49,0.65,0.80,0.41,0.55,0.25,216.36,47.37,2816,6422,14213
PS4 Ranked,Kinessa,Damage,2500+,V2.06,Steady Aim,93.04,26.15,0.00,0.00,0.00,0.00,1.39,0.60,0.72,0.36,0.63,0.25,205.80,41.08,285,875,2247
Keyboard/Mouse Ranked,Kinessa,Damage,Everyone,V2.02,Steady Aim,87.28,31.26,0.00,0.00,0.00,0.00,1.39,0.69,0.72,0.42,0.59,0.27,205.13,50.57,5741,14349,33702
PS4 Ranked,Kinessa,Damage,2100+,V2.06,Steady Aim,83.06,27.62,0.00,0.00,0.00,0.00,1.42,0.69,0.71,0.40,0.68,0.27,203.88,47.65,2447,6694,16906
PS4 Ranked,Kinessa,Damage,Everyone,V2.06,Steady Aim,75.50,28.12,0.00,0.00,0.00,0.00,1.40,0.73,0.70,0.42,0.68,0.29,201.42,51.48,7053,18962,46331
Controller Ranked,Kinessa,Damage,Everyone,V2.07,Steady Aim,76.98,28.75,0.00,0.00,0.00,0.00,1.40,0.71,0.69,0.41,0.67,0.28,199.07,50.29,406,1080,2595
Controller Ranked,Kinessa,Damage,2100+,V2.07,Steady Aim,87.63,31.60,0.00,0.00,0.00,0.00,1.52,0.74,0.80,0.56,0.64,0.26,209.52,54.00,18,50,113
Keyboard/Mouse Ranked,Kinessa,Damage,3000+,V2.03,Steady Aim,112.10,25.25,0.00,0.00,0.00,0.00,1.50,0.60,0.85,0.39,0.51,0.23,224.56,47.51,196,435,666
Crossplatform Casual,Kinessa,Damage,Everyone,V2.07,Steady Aim,62.39,26.68,0.00,0.00,0.00,0.00,1.38,0.73,0.70,0.44,0.62,0.29,192.87,55.36,15314,35735,74758
Keyboard/Mouse Ranked,Kinessa,Damage,2700+,V2.03,Steady Aim,108.94,25.61,0.00,0.00,0.00,0.00,1.51,0.61,0.84,0.40,0.52,0.23,221.85,46.21,765,1695,2772
Controller Ranked,Kinessa,Damage,2500+,V2.07,Steady Aim,138.81,25.58,0.00,0.00,0.00,0.00,2.48,0.89,1.68,0.68,0.35,0.17,293.48,49.82,5,6,12
Crossplatform Casual,Kinessa,Damage,2100+,V2.07,Steady Aim,73.42,26.56,0.00,0.00,0.00,0.00,1.42,0.69,0.73,0.43,0.60,0.28,200.16,51.42,4208,9981,21611
Crossplatform Casual,Kinessa,Damage,2500+,V2.07,Steady Aim,82.96,26.23,0.00,0.00,0.00,0.00,1.46,0.65,0.79,0.42,0.54,0.26,208.32,48.52,835,1842,3849
Keyboard/Mouse Ranked,Kinessa,Damage,2500+,V2.03,Steady Aim,105.73,26.09,0.00,0.00,0.00,0.00,1.50,0.61,0.83,0.40,0.53,0.24,219.40,45.89,1278,2870,4862
Keyboard/Mouse Ranked,Kinessa,Damage,2100+,V2.03,Steady Aim,98.47,27.55,0.00,0.00,0.00,0.00,1.49,0.65,0.80,0.41,0.55,0.25,214.05,47.04,2924,6867,12864
Crossplatform Casual,Kinessa,Damage,2700+,V2.07,Steady Aim,86.64,26.74,0.00,0.00,0.00,0.00,1.47,0.65,0.81,0.42,0.52,0.25,211.08,47.52,342,731,1450
Controller Ranked,Kinessa,Damage,Everyone,V2.06,Steady Aim,75.06,27.66,0.00,0.00,0.00,0.00,1.39,0.71,0.70,0.42,0.65,0.28,196.52,50.07,3351,8782,21567
Keyboard/Mouse Ranked,Kinessa,Damage,Everyone,V2.03,Steady Aim,89.41,30.06,0.00,0.00,0.00,0.00,1.42,0.68,0.75,0.42,0.58,0.26,206.98,49.42,5230,12898,27135
Crossplatform Casual,Kinessa,Damage,3000+,V2.07,Steady Aim,90.62,25.51,0.00,0.00,0.00,0.00,1.43,0.61,0.80,0.40,0.51,0.22,213.06,43.84,60,122,231
Crossplatform Casual,Kinessa,Damage,Everyone,V2.06,Steady Aim,58.45,26.78,0.00,0.00,0.00,0.00,1.30,0.72,0.66,0.44,0.63,0.29,188.66,55.66,328424,766723,1462901
Controller Ranked,Kinessa,Damage,2100+,V2.06,Steady Aim,82.96,26.70,0.00,0.00,0.00,0.00,1.40,0.67,0.72,0.41,0.65,0.26,199.99,47.35,895,2429,6285
Crossplatform Casual,Kinessa,Damage,2100+,V2.06,Steady Aim,68.00,26.28,0.00,0.00,0.00,0.00,1.36,0.68,0.69,0.42,0.62,0.28,195.51,51.13,125944,302785,622913
Keyboard/Mouse Ranked,Kinessa,Damage,3000+,V2.04,Steady Aim,110.35,25.01,0.00,0.00,0.00,0.00,1.46,0.62,0.82,0.41,0.49,0.21,222.54,46.07,99,211,331
Keyboard/Mouse Ranked,Kinessa,Damage,2700+,V2.04,Steady Aim,107.80,25.51,0.00,0.00,0.00,0.00,1.48,0.61,0.84,0.40,0.48,0.22,221.38,45.85,412,907,1462
Controller Ranked,Kinessa,Damage,2500+,V2.06,Steady Aim,90.08,24.90,0.00,0.00,0.00,0.00,1.39,0.62,0.73,0.40,0.62,0.21,206.31,43.65,110,265,751
Controller Ranked,Kinessa,Damage,2700+,V2.06,Steady Aim,97.22,24.32,0.00,0.00,0.00,0.00,1.51,0.57,0.78,0.35,0.59,0.22,216.09,38.21,41,78,178
Crossplatform Casual,Kinessa,Damage,2500+,V2.06,Steady Aim,76.60,26.71,0.00,0.00,0.00,0.00,1.40,0.66,0.75,0.43,0.59,0.27,202.74,49.87,29169,69225,143315
Keyboard/Mouse Ranked,Kinessa,Damage,2500+,V2.04,Steady Aim,104.69,25.97,0.00,0.00,0.00,0.00,1.49,0.62,0.83,0.41,0.50,0.23,218.58,45.61,767,1721,2944
Crossplatform Casual,Kinessa,Damage,2700+,V2.06,Steady Aim,81.61,27.61,0.00,0.00,0.00,0.00,1.42,0.66,0.77,0.43,0.56,0.26,206.54,49.93,10083,23477,47833
Crossplatform Casual,Kinessa,Damage,3000+,V2.06,Steady Aim,90.53,30.39,0.00,0.00,0.00,0.00,1.44,0.67,0.82,0.46,0.52,0.25,213.95,51.76,1667,3699,6997
Keyboard/Mouse Ranked,Kinessa,Damage,2100+,V2.04,Steady Aim,97.11,26.96,0.00,0.00,0.00,0.00,1.47,0.63,0.79,0.40,0.54,0.25,212.48,45.52,1899,4528,8759
Controller Ranked,Kinessa,Damage,Everyone,V2.05,Steady Aim,74.42,27.53,0.00,0.00,0.00,0.00,1.40,0.72,0.70,0.41,0.66,0.28,197.17,49.82,2502,6542,16132
Keyboard/Mouse Ranked,Kinessa,Damage,2500+,V2.02,Steady Aim,108.99,27.10,0.00,0.00,0.00,0.00,1.56,0.63,0.86,0.40,0.51,0.24,225.18,46.35,1223,2577,5018
Keyboard/Mouse Ranked,Kinessa,Damage,Everyone,V2.04,Steady Aim,87.25,29.60,0.00,0.00,0.00,0.00,1.41,0.67,0.73,0.41,0.58,0.26,204.84,48.74,3689,9206,20033
Crossplatform Casual,Kinessa,Damage,Everyone,V2.05,Steady Aim,60.58,25.94,0.00,0.00,0.00,0.00,1.37,0.72,0.69,0.44,0.62,0.29,190.29,54.69,171251,398128,849217
Controller Ranked,Kinessa,Damage,2100+,V2.05,Steady Aim,81.68,27.48,0.00,0.00,0.00,0.00,1.42,0.68,0.71,0.40,0.65,0.27,199.91,46.25,735,1944,4769
Keyboard/Mouse Ranked,Kinessa,Damage,2700+,V2.02,Steady Aim,112.22,26.84,0.00,0.00,0.00,0.00,1.55,0.61,0.87,0.40,0.49,0.23,227.87,46.71,686,1387,2652
Keyboard/Mouse Ranked,Kinessa,Damage,3000+,V2.05,Steady Aim,109.66,24.49,0.00,0.00,0.00,0.00,1.52,0.59,0.88,0.39,0.48,0.23,227.21,47.35,159,306,556
PS4 Ranked,Kinessa,Damage,3000+,V2.02,Steady Aim,109.11,21.00,0.00,0.00,0.00,0.00,1.51,0.51,0.85,0.40,0.47,0.20,221.94,34.60,14,32,64
PS4 Ranked,Kinessa,Damage,2700+,V2.02,Steady Aim,101.05,25.67,0.00,0.00,0.00,0.00,1.48,0.55,0.77,0.36,0.54,0.23,215.81,40.77,126,295,637
Keyboard/Mouse Ranked,Kinessa,Damage,2700+,V2.05,Steady Aim,105.50,25.58,0.00,0.00,0.00,0.00,1.48,0.58,0.84,0.38,0.49,0.22,221.19,45.31,650,1369,2320
Keyboard/Mouse Ranked,Kinessa,Damage,3000+,V2.02,Steady Aim,115.86,25.98,0.00,0.00,0.00,0.00,1.52,0.57,0.85,0.37,0.49,0.22,229.55,43.36,179,350,631
Keyboard/Mouse Ranked,Kinessa,Damage,2500+,V2.05,Steady Aim,103.28,26.20,0.00,0.00,0.00,0.00,1.49,0.60,0.84,0.39,0.51,0.23,219.15,46.13,1242,2700,4743
Crossplatform Casual,Kinessa,Damage,2100+,V2.05,Steady Aim,69.02,25.82,0.00,0.00,0.00,0.00,1.40,0.68,0.72,0.42,0.61,0.28,196.07,51.04,72493,172173,380293
Keyboard/Mouse Ranked,Kinessa,Damage,2100+,V2.05,Steady Aim,94.92,27.89,0.00,0.00,0.00,0.00,1.46,0.64,0.79,0.41,0.56,0.25,211.57,47.07,3440,8252,16653
PS4 Ranked,Kinessa,Damage,2500+,V2.02,Steady Aim,96.43,26.33,0.00,0.00,0.00,0.00,1.53,0.60,0.79,0.37,0.58,0.24,215.27,42.82,269,647,1687
PS4 Ranked,Kinessa,Damage,2100+,V2.02,Steady Aim,86.65,26.67,0.00,0.00,0.00,0.00,1.52,0.68,0.75,0.39,0.63,0.26,209.99,45.95,1127,2824,7639
Crossplatform Casual,Kinessa,Damage,2500+,V2.05,Steady Aim,77.70,26.16,0.00,0.00,0.00,0.00,1.42,0.66,0.76,0.42,0.58,0.27,202.66,49.68,18849,43852,94426
Keyboard/Mouse Ranked,Kinessa,Damage,Everyone,V2.05,Steady Aim,85.45,29.54,0.00,0.00,0.00,0.00,1.39,0.68,0.72,0.42,0.59,0.27,203.56,48.91,6981,17813,40192
PS4 Ranked,Kinessa,Damage,Everyone,V2.02,Steady Aim,74.76,29.00,0.00,0.00,0.00,0.00,1.43,0.73,0.70,0.42,0.66,0.29,203.16,51.81,3117,7987,19360
Controller Ranked,Kinessa,Damage,2500+,V2.05,Steady Aim,89.93,27.32,0.00,0.00,0.00,0.00,1.42,0.64,0.73,0.38,0.61,0.28,205.11,43.84,124,314,654
PS4 Ranked,Kinessa,Damage,3000+,V2.03,Steady Aim,110.41,28.82,0.00,0.00,0.00,0.00,1.34,0.61,0.75,0.35,0.51,0.23,214.03,47.10,34,80,123
Keyboard/Mouse Ranked,Kinessa,Damage,3000+,V2.06,Steady Aim,107.14,25.74,0.00,0.00,0.00,0.00,1.41,0.56,0.79,0.38,0.51,0.21,216.20,43.49,70,161,413
